,Week,Year,WeeklyRange,Event Tags
0,24,2025,82.0,Rollover Start
1,23,2025,157.5,
2,22,2025,194.0,
3,21,2025,231.25,
4,20,2025,243.25,
5,19,2025,145.0,
6,18,2025,269.0,"Day After FOMC, Day Before FOMC, FOMC Day"
7,17,2025,425.75,
8,16,2025,246.75,
9,15,2025,696.25,
10,14,2025,699.25,
11,13,2025,227.0,
12,12,2025,119.75,"Day After FOMC, Day Before FOMC, FOMC Day, IMM Expiry"
13,11,2025,248.5,Rollover Start
14,10,2025,327.5,
15,9,2025,209.0,
16,8,2025,141.75,
17,7,2025,132.75,
18,6,2025,187.75,
19,5,2025,182.0,"Day After FOMC, Day Before FOMC, FOMC Day"
20,4,2025,161.5,
21,3,2025,208.5,
22,2,2025,223.0,
23,1,2025,161.25,
24,26,2024,74.75,
25,25,2024,98.25,IMM Expiry
26,24,2024,120.0,"Day After FOMC, Day Before FOMC, FOMC Day, Rollover Start"
27,23,2024,138.75,
28,22,2024,133.5,
29,21,2024,94.75,
30,20,2024,132.25,
31,19,2024,108.25,"Day After FOMC, Day Before FOMC, FOMC Day"
32,18,2024,130.5,
33,17,2024,140.25,
34,16,2024,249.75,
35,15,2024,131.5,
36,14,2024,142.0,
37,13,2024,59.0,
38,12,2024,127.0,"Day After FOMC, Day Before FOMC, FOMC Day"
39,11,2024,96.5,IMM Expiry
40,10,2024,130.0,Rollover Start
41,9,2024,89.25,
42,8,2024,164.75,
43,7,2024,129.75,
44,6,2024,110.75,
45,5,2024,131.25,"Day After FOMC, Day Before FOMC, FOMC Day"
46,4,2024,61.75,
47,3,2024,130.0,
48,2,2024,123.0,
49,1,2024,126.0,
50,26,2023,127.5,
51,25,2023,75.5,
52,24,2023,142.5,"Day After FOMC, Day Before FOMC, FOMC Day, IMM Expiry"
53,23,2023,62.5,Rollover Start
54,22,2023,136.5,
55,21,2023,123.75,
56,20,2023,104.0,
57,19,2023,62.25,
58,18,2023,133.75,"Day After FOMC, Day Before FOMC, FOMC Day"
59,17,2023,75.75,
60,16,2023,63.0,
61,15,2023,74.5,
62,14,2023,72.75,
63,13,2023,142.25,
64,12,2023,144.25,"Day After FOMC, Day Before FOMC, FOMC Day"
65,11,2023,145.0,IMM Expiry
66,10,2023,217.75,Rollover Start
67,9,2023,131.0,
68,8,2023,141.5,
69,7,2023,129.5,
70,6,2023,127.5,
71,5,2023,191.75,"Day After FOMC, Day Before FOMC, FOMC Day"
72,4,2023,145.75,
73,3,2023,133.5,
74,2,2023,133.25,
75,1,2023,114.25,
76,26,2022,203.5,
77,25,2022,226.5,
78,24,2022,203.5,"Day After FOMC, Day Before FOMC, FOMC Day, IMM Expiry"
79,23,2022,273.0,Rollover Start
80,22,2022,177.0,
81,21,2022,130.75,
82,20,2022,284.0,
83,19,2022,244.0,
84,18,2022,247.0,"Day After FOMC, Day Before FOMC, FOMC Day"
85,17,2022,184.75,
86,16,2022,236.5,
87,15,2022,115.75,
88,14,2022,144.25,
89,13,2022,129.75,
90,12,2022,124.0,
91,11,2022,336.25,"Day After FOMC, Day Before FOMC, FOMC Day, IMM Expiry"
92,10,2022,195.25,Rollover Start
93,9,2022,147.75,
94,8,2022,289.5,
95,7,2022,663.5,
96,6,2022,191.75,
97,5,2022,190.5,
98,4,2022,233.5,"Day After FOMC, Day Before FOMC, FOMC Day"
99,3,2022,290.5,
100,2,2022,166.75,
101,1,2022,254.5,
102,26,2021,82.75,
103,25,2021,112.0,
104,24,2021,117.5,"Day After FOMC, Day Before FOMC, FOMC Day, IMM Expiry"
105,23,2021,43.25,Rollover Start
106,22,2021,70.25,
107,21,2021,66.75,
108,20,2021,129.5,
109,19,2021,209.0,
110,18,2021,111.75,
111,17,2021,44.25,"Day After FOMC, Day Before FOMC, FOMC Day"
112,16,2021,76.25,
113,15,2021,82.25,
114,14,2021,84.0,
115,13,2021,86.5,
116,12,2021,124.75,
117,11,2021,103.5,"Day After FOMC, Day Before FOMC, FOMC Day, IMM Expiry"
118,10,2021,162.25,Rollover Start
119,9,2021,191.5,
120,8,2021,149.5,
121,7,2021,78.75,
122,6,2021,58.0,
123,5,2021,231.75,
124,4,2021,176.75,"Day After FOMC, Day Before FOMC, FOMC Day"
125,3,2021,119.25,
126,2,2021,79.25,
127,1,2021,172.0,
128,26,2020,153.2800000000002,
129,25,2020,232.5,IMM Expiry
130,24,2020,249.75,"Day After FOMC, Day Before FOMC, FOMC Day, Rollover Start"
131,23,2020,202.5,
132,22,2020,76.0,
133,21,2020,110.75,
134,20,2020,187.0,
135,19,2020,162.0,
136,18,2020,148.0,"Day After FOMC, Day Before FOMC, FOMC Day"
137,17,2020,142.5,
138,16,2020,139.0,
139,15,2020,324.75,
140,14,2020,211.0,
141,13,2020,451.75,
142,12,2020,390.0,"Day After FOMC, Day Before FOMC, FOMC Day, IMM Expiry"
143,11,2020,493.75,Rollover Start
144,10,2020,247.75,
145,9,2020,458.75,
146,8,2020,66.0,
147,7,2020,85.0,
148,6,2020,136.25,
149,5,2020,84.75,"Day After FOMC, Day Before FOMC, FOMC Day"
150,4,2020,57.0,
151,3,2020,64.75,
152,2,2020,106.0,
153,1,2020,56.75,
154,26,2019,47.0,
155,25,2019,77.25,IMM Expiry
156,24,2019,44.25,"Day After FOMC, Day Before FOMC, FOMC Day, Rollover Start"
157,23,2019,157.5,
158,22,2019,91.25,
159,21,2019,70.75,
160,20,2019,92.0,
161,19,2019,112.25,
162,18,2019,60.25,
163,17,2019,43.75,"Day After FOMC, Day Before FOMC, FOMC Day"
164,16,2019,34.0,
165,15,2019,37.5,
166,14,2019,53.5,
167,13,2019,51.25,
168,12,2019,60.75,"Day After FOMC, Day Before FOMC, FOMC Day"
169,11,2019,94.75,IMM Expiry
170,10,2019,98.25,Rollover Start
171,9,2019,39.0,
172,8,2019,31.25,
173,7,2019,78.0,
174,6,2019,57.0,
175,5,2019,93.75,
176,4,2019,61.0,
177,3,2019,110.5,
178,2,2019,76.25,"Day After FOMC, Day Before FOMC, FOMC Day"
179,1,2019,100.75,
